Year,State_Name,State_FIPS,Scaling_Factor,GCAM_USA_Load_TWh,Raw_TELL_Load_TWh,Scaled_TELL_Load_TWh
2018,Alabama,1000,1.06819,92.95769,87.02382,92.95769
2018,Arizona,4000,1.05478,89.03567,84.41152,89.03567
2018,Arkansas,5000,1.16768,49.56445,42.44705,49.56445
2018,California,6000,1.04777,304.97104,291.06607,304.97104
2018,Colorado,8000,0.97105,60.24747,62.04354,60.24747
2018,Connecticut,9000,1.18617,31.81769,26.82397,31.81769
2018,Delaware,10000,1.12243,12.68096,11.29774,12.68096
2018,District of Columbia,11000,1.61387,13.24268,8.20554,13.24268
2018,Florida,12000,1.05564,275.40061,260.88407,275.40061
2018,Georgia,13000,0.96936,149.63303,154.36316,149.63303
2018,Idaho,16000,1.00557,26.32165,26.17574,26.32165
2018,Illinois,17000,0.91802,148.89126,162.18679,148.89126
2018,Indiana,18000,1.054,106.95454,101.47532,106.95454
2018,Iowa,19000,1.04646,51.0054,48.74112,51.0054
2018,Kansas,20000,1.054,43.75717,41.51537,43.75717
2018,Kentucky,21000,0.83268,80.60974,96.80768,80.60974
2018,Louisiana,22000,1.57546,94.72317,60.1242,94.72317
2018,Maine,23000,1.24332,12.49398,10.04889,12.49398
2018,Maryland,24000,0.99546,70.26564,70.58635,70.26564
2018,Massachusetts,25000,1.17469,60.87475,51.82212,60.87475
2018,Michigan,26000,0.86508,108.57621,125.50994,108.57621
2018,Minnesota,27000,1.05215,73.3571,69.72127,73.3571
2018,Mississippi,28000,0.87465,51.13614,58.46454,51.13614
2018,Missouri,29000,0.93876,90.36953,96.26517,90.36953
2018,Montana,30000,0.74737,15.35826,20.54977,15.35826
2018,Nebraska,31000,1.14712,32.40446,28.24866,32.40446
2018,Nevada,32000,1.14039,41.41761,36.31895,41.41761
2018,New Hampshire,33000,1.18224,12.04049,10.18444,12.04049
2018,New Jersey,34000,0.7402,85.80299,115.91851,85.80299
2018,New Mexico,35000,1.06968,24.02372,22.45884,24.02372
2018,New York,36000,1.05154,167.44682,159.23905,167.44682
2018,North Carolina,37000,0.93818,149.41107,159.25607,149.41107
2018,North Dakota,38000,0.99507,19.00163,19.09573,19.00163
2018,Ohio,39000,1.14914,156.91099,136.54701,156.91099
2018,Oklahoma,40000,1.01962,65.88304,64.61534,65.88304
2018,Oregon,41000,1.02682,53.9534,52.54441,53.9534
2018,Pennsylvania,42000,1.03942,155.93497,150.02166,155.93497
2018,Rhode Island,44000,1.05609,8.38374,7.93844,8.38374
2018,South Carolina,45000,1.09656,89.20645,81.35143,89.20645
2018,South Dakota,46000,0.59608,13.44843,22.56157,13.44843
2018,Tennessee,47000,1.11894,111.08899,99.28049,111.08899
2018,Texas,48000,0.88498,437.2882,494.12036,437.2882
2018,Utah,49000,0.98601,34.92663,35.42218,34.92663
2018,Vermont,50000,1.26126,5.93083,4.70232,5.93083
2018,Virginia,51000,1.21579,124.42903,102.3446,124.42903
2018,Washington,53000,1.0928,105.86519,96.87556,105.86519
2018,West Virginia,54000,1.5366,32.41351,21.09433,32.41351
2018,Wisconsin,55000,1.07968,73.18046,67.77974,73.18046
2018,Wyoming,56000,2.45008,16.42138,6.70238,16.42138
